OBJECTID,ID,NAME,STATE_NAME,ST_ABBREV,UniqueID,UNEMPRT_CY,POPGRW00CY,Observed,Cond,LocalR2,Predicted,Intercept,C1_Pop_Change,Residual,StdError,Correlation,ColorRGB,ColorHex,Shape__Area,Shape__Length
1386,13071,Colquitt County,Georgia,GA,1386,11.900000000000000,0.780000000000000,11.900000000000000,1.929496811663856,0.170419106249081,12.024119594639666,13.094096910860273,-1.371765790026419,-0.124119594639666,2.228723988964203,weakly negative,"223,170,88",DFAA58,1975788956.091796875000000,202645.794499617302790
1387,13079,Crawford County,Georgia,GA,1387,11.000000000000000,0.600000000000000,11.000000000000000,2.086414991949240,0.160037086038002,12.996314887567863,13.630944078991774,-1.057715319039852,-1.996314887567863,2.247626184195289,weak,"231,228,187",E7E4BB,1197974591.742187500000000,198425.436046759074088
1388,13081,Crisp County,Georgia,GA,1388,14.600000000000000,0.110000000000000,14.600000000000000,1.507093434054809,0.230681298366189,13.398108682161004,13.534956921926508,-1.244074906959127,1.201891317838996,2.239262853941937,weakly negative,"223,170,88",DFAA58,1013303502.953125000000000,141374.836826027807547
1389,13093,Dooly County,Georgia,GA,1389,10.699999999999999,-0.020000000000000,10.699999999999999,1.574084464649627,0.164428797638132,13.502889950756977,13.480297262784081,-1.129634398644816,-2.802889950756978,2.224354210110023,weak,"231,228,187",E7E4BB,1439635770.492187500000000,167704.771921651845332
1390,13095,Dougherty County,Georgia,GA,1390,15.800000000000001,-0.090000000000000,15.800000000000001,1.184753846302591,0.206372701812126,13.128854687052577,13.028767534950394,-1.112079467802037,2.671145312947424,2.247469605337526,weak,"231,228,187",E7E4BB,1197180861.257812500000000,169136.945707420149120
1391,13153,Houston County,Georgia,GA,1391,8.900000000000000,2.280000000000000,8.900000000000000,1.885582513633734,0.164309246822245,10.571678000513712,13.588251949568265,-1.323058749585331,-1.671678000513712,1.638521466265605,weakly negative,"223,170,88",DFAA58,1386921556.253906250000000,228526.836821663950104
1392,13177,Lee County,Georgia,GA,1392,8.600000000000000,3.190000000000000,8.600000000000000,1.210591627003024,0.278075505148680,9.594330786420224,13.357321276609499,-1.179620843319522,-0.994330786420225,0.926776627031765,weak,"231,228,187",E7E4BB,1301330554.632812500000000,189382.093909352406627
1393,13193,Macon County,Georgia,GA,1393,16.300000000000001,-0.450000000000000,16.300000000000001,1.614988711981796,0.105611525658023,13.844221632433266,13.425446068343216,-0.930612364644553,2.455778367566735,2.132947965166742,weak,"231,228,187",E7E4BB,1477813738.003906250000000,205597.243247421720298
1394,13205,Mitchell County,Georgia,GA,1394,10.900000000000000,0.080000000000000,10.900000000000000,1.409108935517121,0.115480882979674,12.598931582276826,12.677470421204319,-0.981735486593656,-1.698931582276826,2.235259225676879,weak,"231,228,187",E7E4BB,1825626221.099609375000000,210334.958167871023761
1395,13225,Peach County,Georgia,GA,1395,18.100000000000001,1.280000000000000,18.100000000000001,1.963837986808862,0.158148136713346,12.055798048725659,13.612467539824934,-1.216148039921308,6.044201951274342,2.198459698475128,weakly negative,"223,170,88",DFAA58,553493222.621093750000000,141635.129061715211719
1396,13249,Schley County,Georgia,GA,1396,14.100000000000000,1.460000000000000,14.100000000000000,1.402121508854934,0.085263378413712,12.363310717826735,13.488080201181425,-0.770390057092254,1.736689282173264,2.101273198146619,weak,"231,228,187",E7E4BB,609653984.460937500000000,138179.481815307663055
1397,13261,Sumter County,Georgia,GA,1397,15.199999999999999,-0.220000000000000,15.199999999999999,1.278084871988447,0.153183480709923,13.743593542663119,13.538357284416428,-0.932892082939501,1.456406457336881,2.212367330019184,weak,"231,228,187",E7E4BB,1780393905.574218750000000,215120.958264504908584
1398,13269,Taylor County,Georgia,GA,1398,15.100000000000000,-0.040000000000000,15.100000000000000,1.792625165129241,0.094529855638865,13.503762863110691,13.468541626781185,-0.880530908237619,1.596237136889309,2.199142585097151,weak,"231,228,187",E7E4BB,1387770456.988281250000000,234285.858291948941769
1399,13277,Tift County,Georgia,GA,1399,12.400000000000000,1.010000000000000,12.400000000000000,1.903057287771407,0.116387333143921,12.436314524994815,13.651882922172693,-1.203533066512749,-0.036314524994815,2.176322616282299,weak,"231,228,187",E7E4BB,959805728.707031250000000,139799.483847345458344
1400,13287,Turner County,Georgia,GA,1400,13.500000000000000,-0.360000000000000,13.500000000000000,1.625459978663908,0.184484760643059,14.124194480167787,13.681976487966953,-1.228383311668988,-0.624194480167787,2.139312096166731,weakly negative,"223,170,88",DFAA58,1040639969.195312500000000,154737.190706929919543
1401,13321,Worth County,Georgia,GA,1401,13.600000000000000,-0.360000000000000,13.600000000000000,1.459562685550784,0.295826563107198,13.908711141749485,13.422286054379551,-1.351180798249817,-0.308711141749486,2.156184833501631,weakly negative,"223,170,88",DFAA58,2055630049.226562500000000,240432.600961210526293
1402,13001,Appling County,Georgia,GA,1402,10.000000000000000,0.340000000000000,10.000000000000000,2.949258498956065,0.035582824140341,12.152282729227917,12.397955849713806,-0.722568001429086,-2.152282729227917,2.183296691657957,weak,"231,228,187",E7E4BB,1840685825.861328125000000,248452.530293796735350
1403,13005,Bacon County,Georgia,GA,1403,10.900000000000000,0.320000000000000,10.900000000000000,3.335548514778145,0.014349660778987,12.564344417860909,12.777627522604087,-0.666509702322432,-1.664344417860908,2.141548230460548,weak,"231,228,187",E7E4BB,1022682711.792968750000000,154356.674478915636428
1404,13025,Brantley County,Georgia,GA,1404,11.000000000000000,0.980000000000000,11.000000000000000,3.235738971434051,0.029262229061279,11.445947946651883,11.929289888602986,-0.493206063215411,-0.445947946651883,2.246467413520948,weak,"231,228,187",E7E4BB,1588482547.253906250000000,243495.791391177423066
