CNTY_FIPS,Housing and transportation costs as a percent of income for Median-Income Family households
13043,55.98396522
13043,56.57291787
13131,46.73990628
13113,65.65610564
13113,56.59163143
13121,63.67197777
13121,56.77136214
13161,85.64523675
13095,81.30318122
13095,83.28998283
13087,60.88270924
13087,81.1982622
13033,68.19536385
13107,67.44339909
13107,67.54019949
13095,69.15932871
13095,68.58824561
13095,67.77605178
13151,64.22252764
13151,58.58083696
13247,63.7777562
13247,67.42856474
13153,67.88283543
13153,67.42748523
13121,66.68138878
13121,66.51781989
13135,69.43248766
13135,68.18408643
13135,70.2862038
13135,64.7397329
13135,68.54571843
13087,65.85000894
13087,69.02643423
13087,69.7027862
13087,66.15718147
13091,69.58958482
13255,66.26176831
13255,66.36124707
13255,57.82424812
13255,58.04352588
13095,57.12312788
13095,63.38154876
13095,40.06597876
13103,47.27524046
13237,48.08377891
13237,48.28079937
13237,67.80314038
13127,66.79158354
13013,51.90380516
13131,56.79030486
13131,48.47836855
13131,50.62063766
13091,51.80641329
13121,53.52646225
13121,57.02884081
13121,55.32473473
13121,66.0557794
13085,65.47434641
13127,65.77839191
13173,60.39185351
13075,61.3884842
13245,60.61793963
13245,55.56810392
13245,61.63424305
13265,62.6404962
13131,54.15572756
13113,56.1908858
13113,57.18563712
13113,48.67225945
13113,46.02500885
13121,49.19361851
13121,58.48468217
13121,54.73368874
13127,48.23636826
13255,49.37482951
13297,57.5484653
13087,53.58828193
13107,57.9554162
13091,54.55974214
13115,45.20180014
13121,39.98540892
13299,47.02065339
13095,50.11807144
13095,43.46954332
13305,56.48375096
13305,50.56551768
13135,51.48453967
13135,54.94786947
13131,52.60442089
13017,52.29371163
13017,63.95215874
13113,61.22160566
13113,55.5783857
13113,63.49467212
13113,63.48511333
13221,52.83978962
13095,55.50862039
13207,56.42946098
13095,53.6887958
13095,53.06635438
13039,52.8010683
13039,76.25037849
13039,58.69447737
13063,81.11288477
13063,68.69592609
13063,65.14703411
13067,69.37345131
13067,62.34588012
13067,57.41872828
13067,59.67235958
13305,55.29748218
13305,60.58964546
13305,57.91831472
13151,53.63914857
13151,74.44899171
13121,76.00775486
13121,48.30646478
13121,39.71748715
13135,48.3151939
13135,49.57935439
13127,57.67618332
13297,57.75397082
13297,57.97259874
13297,57.950299
13071,57.88660883
13071,45.12017853
13285,42.04839866
13285,44.51721863
13039,49.3717439
13039,76.02778615
13063,74.01598058
13063,75.43894969
13063,71.62495942
13063,63.53419104
13151,68.71811691
13151,71.33945412
13151,42.73333886
13215,47.63964376
13271,52.41752683
13297,49.10237229
13113,55.76686538
13071,53.45969968
13091,54.74040481
13091,52.06991868
13091,52.80141531
13121,58.08399096
13071,57.71361296
13137,55.19356676
13095,61.15509659
13095,47.20073491
13009,47.74271853
13247,44.80905074
13247,73.80288821
13247,73.02733471
13247,57.17388309
13247,52.44790186
13135,55.09938721
13185,53.86292506
13179,61.61445494
13271,46.16339748
13247,50.25062558
13215,53.9334604
13153,56.19156063
13245,43.16685237
13245,43.04246872
13245,42.84935494
13245,44.72668215
13121,60.49176779
13121,50.09549817
13121,53.47744397
13135,81.46758848
13135,82.95875692
13135,82.25496454
13297,76.96504829
13297,47.05680388
13297,44.76766224
13143,53.42877046
13009,50.04854401
13009,53.99094343
13297,52.88384182
13297,43.46619558
13297,48.29533369
13185,50.19890932
13039,75.33576399
13095,71.87781495
13191,
13219,
13219,
13233,
13233,56.80334543
13233,59.10249733
13151,71.03114241
13063,74.16219163
13063,73.07645046
13063,58.4444512
13121,86.53085014
13121,80.93869059
13311,65.82554806
13311,70.13607045
13051,68.04133219
13121,69.42009257
13121,66.78988935
13121,61.97210326
13121,74.11063152
13107,59.40504642
13057,60.30319353
13057,68.93137111
13147,66.20869084
13113,66.01089801
13113,65.2731977
13113,65.19342431
13121,66.47833352
13121,60.79876769
13121,56.62916739
13051,56.95549008
13215,75.66936494
13215,76.50289336
13215,60.72409503
13215,57.53399417
13139,55.94162717
13139,60.10202334
13115,57.56154662
13151,56.34148683
13121,70.63188022
13117,73.49408814
13117,63.23661094
13059,55.60066499
13059,51.69536264
13059,63.30947216
13059,46.43904556
13059,40.96348974
13117,47.99825787
13117,75.30957273
13121,75.48448897
13147,75.23528363
13147,60.52793772
13147,60.09517356
13147,62.37508063
13137,41.58490581
13095,65.50984283
